word,rootsword1,rootsword2
laplet,laptop,tablet
eggciting,egg,exciting
coltan,columbite,tantalite
natlang,natural,language
sportscasting,sports,broadcasting
cellotaph,cellophane,cenotaph
rocktronic,rock,electronic
Prislam,prison,Islam
geeksta,geek,gangsta
skirtini,skirt,bikini
barbell,bar,dumbbell
Talibangelical,Taliban,evangelical
chrominance,chroma,luminance
beertini,beer,martini
manscara,man,mascara
tertamyl,tertiary,amyl
voluntourist,volunteer,tourist
benchmarketing,benchmark,marketing
volcel,voluntary,celibate
sexpletive,sex,expletive
clicktivism,click,activism
desirement,desire,requirement
Freecycle,free,recycle
trainiac,train,maniac
dogtective,dog,detective
adlayer,adsorb,layer
chairoplane,chair,aeroplane
roflcopter,rofl,helicopter
textiquette,text,etiquette
becurtovirus,beet,curly
idiotorial,idiot,editorial
fragnet,fragmentary,network
servlet,server,applet
palmitoleic,palmitic,oleic
spacedive,space,skydive
Hanfic,Hanson,fanfic
lamalginite,lamina,alginite
funkadelia,funk,psychedelia
twintron,twin,intron
Polexit,Poland,exit
orgone,organism,hormone
obeast,obese,beast
techlash,tech,backlash
Thanksmas,Thanksgiving,Christmas
cashtag,cash,hashtag
seatron,sea,citron
awesomazing,awesome,amazing
peganism,paleodiet,veganism
scyllatoxin,Scylla,toxin
infotisement,information,advertisement
tempofrost,temporary,frost
poorism,poor,tourism
snoopervision,snoop,supervision
bromidiom,bromide,idiom
collectin,collagen,lectin
osmiridium,osmium,iridium
prednylidene,prednisolone,methylidene
fanslator,fan,translator
fuzlocillin,furan,azlocillin
cellco,cell,telco
Floyder,Floyd,loiter
Sensex,sensitive,index
hydricity,hydrogen,electricity
Pennsyltucky,Pennsylvania,Kentucky
vishing,voice,phishing
snirt,snow,dirt
wikitorial,editorial
Twihard,twilight,diehard
cascode,cascade,cathode
azuresin,azure,resin
hindcast,hind,forecast
coxarthrosis,coxa,arthrosis
feminar,feminist,seminar
secobarbital,Seconal,pentobarbital
teatox,tea,detox
polony,bologna,palone
apprecihate,appreciate,hate
Runet,Russian,Internet
permatemp,permanent,temp
floofy,fluffy,poofy
estriol,estratriene,triol
blogorrhea,blog,logorrhea
Fordonomics,Ford,economics
flustrated,flustered,frustrated
purranormal,purr,paranormal
sexpat,sex,expat
correntropy,correlation,entropy
Windies,West,Indies
crotonylene,crotonic,acetylene
Kochtopus,Koch,octopus
alcolock,alcohol,lock
Affrilachian,African,Appalachian
pigopoly,pig,monopoly
trimmigrant,trim,immigrant
squadrilla,squadron,flotilla
communifake,communicate,fake
algorave,algorithmic,rave
hickster,hick,hipster
bungaloft,bungalow,loft
Beervana,beer,nirvana
blobitecture,blob,architecture
fourgie,four,orgy
cyclopentannulation,cyclopentane,annulation
peptibody,peptide,antibody
abzyme,antibody,enzyme
digitoxin,digitalis,toxin
geodome,geodesic,dome
RomneyCare,Romney,healthcare
Laurasia,Laurentia,Eurasia
enchirito,enchilada,burrito
racino,racetrack,casino
homocon,homosexual,conservative
atomtronics,atom,electronics
squoval,square,oval
Spangold,spangle,gold
himpathize,him,sympathize
cycloheptannulated,cycloheptane,annulated
oldcomer,old,newcomer
disulfiram,disulfide,thiuram
herstorian,her,historian
acedapsone,acetate,dapsone
tagball,tag,paintball
fishetarian,fish,vegetarian
twitticism,twit,witticism
pegan,paleo,vegan
copypasta,copy,paste
keezer,keg,freezer
Churchianity,church,Christianity
zetabetical,zeta,alphabetical
sheconomy,she,economy
malvertisement,malicious,advertisement
latrotoxin,Latrodectus,toxin
lipidome,lipid,genome
laminboard,laminate,board
slimnastics,slim,gymnastics
femcel,female,incel
calligraffiti,calligraphy,graffiti
typembryo,type,embryo
glasma,glass,plasma
slinch,slug,inch
webutation,Web,reputation
slushbreaker,slush,icebreaker
argipressin,arginine,vasopressin
microserf,Microsoft,serf
orangequat,orange,kumquat
Netlish,net,English
anternet,ant,internet
blogroll,blog,logroll
lumbersexual,lumberjack,metrosexual
parallelotope,parallelogram,polytope
slumpflation,slump,inflation
fanpire,fan,vampire
snurfer,snow,surfer
ellagitannin,ellagic,tannin
fantagonism,fan,antagonism
amphopropionate,amphoteric,propionate
yupster,yuppie,hipster
